date,sigma_all_observed,sigma_balanced,sigma_balanced_ex_kwuntong
2014-11-30,0.3169954810514522,0.3169954810514522,0.20307697263378152
2014-12-31,0.2920980657229656,0.2920980657229656,0.22997261750845946
2015-01-31,0.35658094203333224,0.35658094203333224,0.28281180129763384
2015-02-28,0.37552182079636004,0.37552182079636004,0.31389913221036564
2015-03-31,0.3423520211747471,0.3423520211747471,0.22460706243265158
2015-04-30,0.35446886809215944,0.35446886809215944,0.2840403391398187
2015-05-31,0.32708453490596806,0.32708453490596806,0.26668159513645806
2015-06-30,0.352271303205629,0.352271303205629,0.2991816396265325
2015-07-31,0.34385713870110457,0.34385713870110457,0.2909113579797613
2015-08-31,0.3379656567432691,0.3379656567432691,0.2947227851999297
2015-09-30,0.32335502450244274,0.32335502450244274,0.27918355132688494
2015-10-31,0.26853621498166347,0.26853621498166347,0.22132578993098145
2015-11-30,0.24688112120531247,0.24688112120531247,0.20297356319677382
2015-12-31,0.285887336418968,0.285887336418968,0.2299411923555886
2016-01-31,0.32742122559591424,0.32742122559591424,0.255069197923339
2016-02-29,0.28582657045887283,0.28582657045887283,0.20397571711719548
2016-03-31,0.2637558529686512,0.2637558529686512,0.20373675315833506
2016-04-30,0.3991514602576214,0.3991514602576214,0.3234683674197825
2016-05-31,0.3580449375706209,0.3580449375706209,0.26382189964846503
2016-06-30,0.34399091349032485,0.34399091349032485,0.30314332647200626
2016-07-31,0.3693671111668525,0.3693671111668525,0.3186252922203358
2016-08-31,0.36105929804564957,0.36105929804564957,0.28804712954382405
2016-09-30,0.3013789266587921,0.3013789266587921,0.22749967983186442
2016-10-31,0.3818618236664757,0.3818618236664757,0.2942871217701092
2016-11-30,0.26708829251774385,0.26708829251774385,0.17275728352179026
2016-12-31,0.37363873721323115,0.37363873721323115,0.2841069710718662
2017-01-31,0.3742354122803874,0.3742354122803874,0.2984613421567159
2017-02-28,0.32916686988472055,0.32916686988472055,0.2804306321362592
2017-03-31,0.343487232645309,0.343487232645309,0.20380352593977502
2017-04-30,0.3142962875412112,0.3142962875412112,0.2267229149998441
2017-05-31,0.34566227616379464,0.34566227616379464,0.302895407354898
2017-06-30,0.3026443799366374,0.3026443799366374,0.2241673054811701
2017-07-31,0.34789549293360406,0.34789549293360406,0.2731062600101946
2017-08-31,0.362093022726301,0.362093022726301,0.2857460682888595
2017-09-30,0.3440777453469122,0.3440777453469122,0.2739293320393995
2017-10-31,0.3046740220402846,0.3046740220402846,0.20114335466312028
2017-11-30,0.3099037282273176,0.3099037282273176,0.26015287148624705
2017-12-31,0.34496448968644927,0.34496448968644927,0.3168992718641946
2018-01-31,0.3709279420808303,0.3709279420808303,0.29866207297009006
2018-02-28,0.318198088692624,0.318198088692624,0.19788999726850137
2018-03-31,0.44995486149399955,0.44995486149399955,0.37813938539128794
2018-04-30,0.4044712685858626,0.4044712685858626,0.32503011201988974
2018-05-31,0.3774064165000373,0.3774064165000373,0.29625751394164757
2018-06-30,0.41526324637299367,0.41526324637299367,0.345985721750527
2018-07-31,0.364010879518324,0.364010879518324,0.3214375362910359
2018-08-31,0.4193063677906414,0.4193063677906414,0.36041314253911605
2018-09-30,0.4032909419835971,0.4032909419835971,0.3440794083810765
2018-10-31,0.27174764203968527,0.27174764203968527,0.1503925480312775
2018-11-30,0.30829146715979544,0.30829146715979544,0.22290826860098456
2018-12-31,0.48209205201663524,0.48209205201663524,0.4501779783862157
2019-01-31,0.4644960571054916,0.4644960571054916,0.3723967466030475
2019-02-28,0.4569893576895271,0.4569893576895271,0.3931799758315105
2019-03-31,0.32071832369968045,0.32071832369968045,0.2226000670221273
2019-04-30,0.35908586990604763,0.35908586990604763,0.2681267478753627
2019-05-31,0.4126398691762736,0.4126398691762736,0.3484399217020037
2019-06-30,0.29289915055999266,0.29289915055999266,0.19262099011446457
2019-07-31,0.33863400367983165,0.33863400367983165,0.25162787714450074
2019-08-31,0.3863124873310487,0.3863124873310487,0.30877608288023056
2019-09-30,0.27952771275276556,0.27952771275276556,0.20187627089862573
2019-10-31,0.45143317852198334,0.45143317852198334,0.3520790213308168
2019-11-30,0.3771833876123153,,
2019-12-31,0.31061873228371334,0.31061873228371334,0.24991335058533673
2020-01-31,0.39604607198649405,0.39604607198649405,0.30811466153691497
2020-02-29,0.34053234808605914,0.34053234808605914,0.2127683837923594
2020-03-31,0.37707917219288584,0.37707917219288584,0.29281396881494565
2020-04-30,0.37560487508748663,0.37560487508748663,0.2669423829607987
2020-05-31,0.3391600468128133,0.3391600468128133,0.22325496144107418
2020-06-30,0.23770123504125745,0.23770123504125745,0.15387265790248653
2020-07-31,0.2976358874836735,0.2976358874836735,0.17294713800827716
2020-08-31,0.3761252578667865,0.3761252578667865,0.28277884353964544
2020-09-30,0.3543899519121575,0.3543899519121575,0.2616817242715953
2020-10-31,0.2530778026927897,0.2530778026927897,0.14025949122560427
2020-11-30,0.3506026389391755,,
2020-12-31,0.3570862840000255,0.3570862840000255,0.255902267809232
2021-01-31,0.3376551618783853,0.3376551618783853,0.24983866078784514
2021-02-28,0.3543969764030248,0.3543969764030248,0.2538456196247118
2021-03-31,0.3046433349613338,0.3046433349613338,0.2165870222203143
2021-04-30,0.3240095738923738,0.3240095738923738,0.23265469194777075
2021-05-31,0.3231996618998815,0.3231996618998815,0.21300007780022456
2021-06-30,0.36275580665518425,0.36275580665518425,0.25190045181092596
2021-07-31,0.29235593340421456,0.29235593340421456,0.1840178211893688
2021-08-31,0.28760825793447475,0.28760825793447475,0.17229485164531524
2021-09-30,0.3491977138738537,0.3491977138738537,0.27016598061780794
2021-10-31,0.3143008242394854,0.3143008242394854,0.19345485330162493
2021-11-30,0.34759599964380783,0.34759599964380783,0.2541884462698551
2021-12-31,0.25810844855526677,0.25810844855526677,0.15126298802851004
2022-01-31,0.3170251066846497,0.3170251066846497,0.20754997129044012
2022-02-28,0.25884370959781217,0.25884370959781217,0.16898003995705477
2022-03-31,0.21092573911409948,0.21092573911409948,0.0965163121766637
2022-04-30,0.3261313639888205,0.3261313639888205,0.25794017833349747
2022-05-31,0.3279673154078368,0.3279673154078368,0.2099710553568159
2022-06-30,0.2942598761723047,0.2942598761723047,0.2098842631916963
2022-07-31,0.37673001577810467,0.37673001577810467,0.3254856759637045
2022-08-31,0.3733561078913311,0.3733561078913311,0.2927377048248761
2022-09-30,0.2821266305293514,0.2821266305293514,0.2143064398119745
2022-10-31,0.25274731914121024,0.25274731914121024,0.13129315876949388
2022-11-30,0.3009698352954566,0.3009698352954566,0.1973455302243947
2022-12-31,0.31395095056540273,0.31395095056540273,0.24783933518557827
2023-01-31,0.34088595895117935,0.34088595895117935,0.22411811027247844
2023-02-28,0.2990639818466422,0.2990639818466422,0.19237062768543992
2023-03-31,0.26087372555582095,0.26087372555582095,0.14500873040865847
2023-04-30,0.34010998508269114,0.34010998508269114,0.24460930249638438
2023-05-31,0.2410245870541974,0.2410245870541974,0.13580982051612184
2023-06-30,0.2975367548277843,0.2975367548277843,0.1972257018374854
2023-07-31,0.32242970510042257,0.32242970510042257,0.22219990733757095
2023-08-31,0.2582750835026237,0.2582750835026237,0.15475737434683967
2023-09-30,0.2891723383305237,0.2891723383305237,0.19277624070857094
2023-10-31,0.2509285414236998,0.2509285414236998,0.11403901256703143
2023-11-30,0.28486831548876124,0.28486831548876124,0.1773711966962851
2023-12-31,0.31138287221306954,0.31138287221306954,0.20795973009946458
2024-01-31,0.31153772011912256,0.31153772011912256,0.2162173523185347
2024-02-29,0.2956141076883166,0.2956141076883166,0.1922924076146365
2024-03-31,0.2029289487699227,0.2029289487699227,0.09550502042988102
2024-04-30,0.2929667200201035,0.2929667200201035,0.1917348469863103
2024-05-31,0.24294075512416446,0.24294075512416446,0.11277899186450364
2024-06-30,0.2943091597211988,0.2943091597211988,0.15205960477945032
2024-07-31,0.35244151605433205,0.35244151605433205,0.2576667077034202
2024-08-31,0.24079601066068146,0.24079601066068146,0.12211078892077798
2024-09-30,0.30705686514252595,0.30705686514252595,0.21140668303801877
2024-10-31,0.25321656214985844,0.25321656214985844,0.11855283966249308
2024-11-30,0.3220941888077894,0.3220941888077894,0.1976936821787095
2024-12-31,0.3462780343637604,0.3462780343637604,0.2544542416265503
2025-01-31,0.27118218253446386,0.27118218253446386,0.138781098496497
2025-02-28,0.2741713801062373,0.2741713801062373,0.16683440348870648
2025-03-31,0.2767880035122484,0.2767880035122484,0.19654485388695242
2025-04-30,0.29708469244843616,0.29708469244843616,0.20020483996517102
2025-05-31,0.39732416800509707,0.39732416800509707,0.30603405873008427
2025-06-30,0.33172043959937536,0.33172043959937536,0.27375536578774184
2025-07-31,0.3514349913489472,0.3514349913489472,0.27018798557599366
2025-08-31,0.29765172129704326,0.29765172129704326,0.23653772399430434
2025-09-30,0.2938510645271821,0.2938510645271821,0.18337343432481867
2025-10-31,0.29305144772968056,0.29305144772968056,0.17052365898247962
2025-11-30,0.3568207728141188,0.3568207728141188,0.2626674330676093
2025-12-31,0.3215561577201901,0.3215561577201901,0.2865327686118841
2026-01-31,0.30992680384904353,0.30992680384904353,0.24470920387683565
2026-02-28,0.4446802250862717,0.4446802250862717,0.30866613834422946
2026-03-31,0.2586540178442818,0.2586540178442818,0.20872290176540642
2026-04-30,0.33832381462459393,0.33832381462459393,0.25437614759727323
